Name,Ticker Symbol,Name (Ticker Symbol) Explanation
"Accelerate Diagnostics, Inc. ",AXDX,"Accelerate Diagnostics, Inc.  (AXDX)  is an in vitro diagnostic company founded in December 1982 and headquartered in Tuscon, Arizona.  The company develops and commercializes identification and antibiotic susceptibility instruments in the medical field."
Advanced Micro Devices Inc. ,AMD,Advanced Micro Devices Inc.  (AMD) operates as a semiconductor company worldwide. The company’s products include mainly x86 microprocessor as an accelerated processing unit (APU) and graphic process units (GPU). It also provides microprocessors for desktop PCs.
Air France-KLM SA,AF.PA,"Air France-KLM SA (AF.PA) Air France-KLM SA (AF.PA) provides inter-continental transporatation services together with its subsidiaries. The company operates through Passenger Network, Cargo, Maintenance, Transavia, and Other segments."
"Antares Pharma, Inc.",ATRS,"Antares Pharma, Inc. (ATRS) a specialty pharmaceutical company, which focuses on developing and commercializing self-administered parenteral pharmaceutical products and technologies around the world."
ARC Group Worldwide,ARCW,ARC Group Worldwide (ARCW) was founded in 1987 and has a history as a technology innovator in the manufacturing business. ARC is leading global advanced manufacturing and 3D printing.
Ariad Pharmaceutical Inc. ,ARIA,"Ariad Pharmaceutical Inc.  (ARIA) works in oncology and engages in the discovery, development, and commercialization of drugs for cancer patients in the United States and internationally. Currently treatments are chronic myeloid leukemia and Philadelphia chromosome positive acute lymphoblastic leukemia, two rare blood and bone marrow diseases."
ARM Holdings plc ,ARMH,ARM Holdings plc  (ARMH)  is a UK based company which focuses on computer-chip technologies. The company designs 95% of the chips found in smartphones.
ARM Holdings plc ,ARM.L,"ARM Holdings plc  (ARM.L)  together with its subsidiaries, designs microprocessors, physical intellectual property (IP), and related technology and software.  The company was founded in 1990 and is headquartered in Cambridge, United Kingdom."
Array BioPharma Inc.,ARRY,"Array BioPharma Inc. (ARRY)  is a biopharmaceutical company, that is involved in discovery research and drug creation. The Company provides drug discovery products and services to create, evaluate, and optimize potential drug candidates in collaboration with pharmaceutical and other biotechnology companies."
"Atwood Oceanics, Inc.",ATW,"Atwood Oceanics, Inc. (ATW) operates as a global offshore drilling contractor, that engages in the drilling and completion of exploratory and developmental oil and gas wells. The firm as well constructs ultra-deepwater drillships."
"Avon Products, Inc. ",AVP,"Avon Products, Inc.  (AVP)  is a manufacturer and marketer of beauty and related products. The Company’s offers its products under two product categories: Beauty and Fashion & Home."
Braskem S.A.,BAK,"Braskem S.A. (BAK) Braskem S.A., together with its subsidiaries, produces and sells thermoplastic resins. Its Basic Petrochemicals segment offers olefins, such as ethylene, polymer and chemical grade propylene, butadiene, isoprene, and butene-1; BTX products comprising benzene, toluene, ortho-xylene, para-xylene, and mixed xylenes; fuels, including automotive gasoline and liquefied petroleum gas; intermediates, such as cumene; and other basic petrochemicals, which include ethyl tertiary butyl ether, solvent C9, and pyrolysis C9."
Bovie Medical Corporation,BVX,"Bovie Medical Corporation (BVX) a medical device company, develops, manufactures, and markets electrosurgical devices and related medical products used in doctor’s offices, surgery centers, and hospitals worldwide."
"Cheniere Energy, Inc ",LNG,"Cheniere Energy, Inc  (LNG) Is a Houston based company which specializes in energy. The Company owns and operates liquefied natural gas receiving terminals and liquefied natural gas (LNG) pipelines. The company manages and operates projects in Louisiana and Texas."
Chesapeake Energy Corporation,CHK,"Chesapeake Energy Corporation (CHK) is an energy company that explores, develops, and acquires properties to produce natural gas and crude oil.  The company is headquartered in Oklahoma City, OK."
Cirrus Logic Inc.,CRUS,"Cirrus Logic Inc. (CRUS)  is located in Austin, Texas since 2015 where they still have their headquarters. They are the suppliers of fabless semiconductor that specializes in analog, mixed-signal, and audioDSP integrated circuits."
"Clayton Williams Energy, Inc. ",CWEI,"Clayton Williams Energy, Inc.  (CWEI)  is an independent oil and gas company, explores for, and develops and produces oil and natural gas primarily in Texas and New Mexico. The company also owns interests in and operates oil, natural gas, and water service facilities. Clayton Williams Energy, Inc. was founded in 1991 and is headquartered in Midland, Texas."
"Cloud Peak Energy, Inc.",CLD,"Cloud Peak Energy, Inc. (CLD)  is a coal mining company with its operations in the states of Wyoming and Montana. The company was founded in 1993 and is headquartered in Gillette, Wyoming."
Cobalt International Energy ,CIE,Cobalt International Energy  (CIE) is an oil exploration and production company with oil portfolio in North America and West Africa.
Colgate-Palmolive Company,CVI,"Colgate-Palmolive Company (CVI)  Headquartered is located in Sugar Land, Texas, CVR Energy is  diversified holding company which is manly engaged in the petroleum refining and nitrogen fertilizer manufacturing industries."
Colgate-Palmolive Company,CL,"Colgate-Palmolive Company (CL) a worldwide company base in America. The company’s main focus on the production of distribution and provision of household, health care and personal products, such as soaps, detergents, and oral hygiene products. Colgate-Palmolive Company was founded 1806 in New York City, United States. 2015 the company claim to have made a revenue of 16.03$ billion.  "
Companhia Siderúrgica Nacional ADR ,SID,"Companhia Siderúrgica Nacional ADR  (SID)  operates as an integrated steel producer primarily in Brazil. It operates through five segments: Steel, Mining, Cement, Logistics, and Energy. The company primarily produces carbon steel and various steel products for automotive, home appliance, packaging, construction, and steel processing industries."
"Continental Resources, Inc.",CLR,"Continental Resources, Inc. (CLR) is an independent crude oil and natural gas exploration and production company with properties in the North, South and East regions of the United States. The North region consists of properties north of Kansas and west of the Mississippi River and includes North Dakota Bakken, Montana Bakken and the Red River units."
Credit Suisse AG – VelocityShares Daily 2x VIX Short Term ETN (TVIX),TVIX,Credit Suisse AG – VelocityShares Daily 2x VIX Short Term ETN (TVIX) (TVIX) is an exchange-traded note issued by Credit Suisse AG (Nassau Branch). They follows twice the daily percentage return of the S&P 500 VIX Short-Term Futures index performance.
Dir Dl S&P Bio Bull,LABU,Dir Dl S&P Bio Bull (LABU) Is a leveraged Inverse and Direxion Inverse ETFs and mutual funds and was Founded in 1997 and today has 4 offices in the U.S. and Hong Kong.
DryShips Inc.,DRYS,"DryShips Inc. (DRYS) was founded in 2004 and has a contract offshore drilling business that operates drybulk carriers. The Company transports commodities including iron ore, coal, and grain, and minor bulks such as bauxite, phosphate and steel products."
Ensco PLC,ESV,"Ensco PLC (ESV) is an offshore contract drilling company with 68 offshore drilling rigs located in 15 countries.  The company was founded in 1975 with its headquarters in London, United Kingdom."
Evolution Petroleum Corp.,EPM,"Evolution Petroleum Corp. (EPM) is an oil and gas company founded in 2003 and headquartered in Houston, Texas.  The company acquires properties, develop and explore for crude oil and natural gas."
Embraer S.A.,ERJ,"Embraer S.A. (ERJ) Embraer S.A. designs, develops, manufactures, and sells aircraft and systems in Brazil, North America, Latin America, the Asia Pacific, Europe, and internationally. It operates through Commercial Aviation, Executive Jets, Defense & Security, and Other Related Businesses segments."
Exelixis Inc. ,EXEL,"Exelixis Inc.  (EXEL) is a biopharmaceutical company. The Company is engaged in developing small molecule therapies for the treatment of cancer. The Company is focusing on resources development and commercialization of COMETRIQ (cabozantinib) for the treatment of progressive, metastatic medullary thyroid cancer (MTC) in the United States."
"Genworth Financial, Inc. ",GNW,"Genworth Financial, Inc.  (GNW) provides insurance and homeownership solutions in the United States and internationally. It operates through five segments: U.S. Mortgage Insurance, Canada Mortgage Insurance, Australia Mortgage Insurance, U.S. Life Insurance, and Runoff."
Gerdau SA ADR,GGB,"Gerdau SA ADR (GGB) produces and commercializes steel products worldwide. The company operates through Brazil Business Operation, North America Business Operation, South America Business Operation, and Special Steel Business Operation segments. "
GOL Linhas Aéreas Inteligentes S.A.,GOL,"GOL Linhas Aéreas Inteligentes S.A. (GOL) through its subsidiaries, provides regular and non-regular air transportation services for passengers, cargoes, and mailbags in South America and the Caribbean."
"Healthways, Inc.",HWAY,"Healthways, Inc. (HWAY) Healthways is the largest independent global provider. Dedicated to creating a healthier world one person at a time, the Company uses the science of behaviour change to produce and measure positive change in well-being, which include employers, integrated health systems, hospitals, physicians, health plans, communities and government entities. The Company has scaled its proprietary technology infrastructure and delivery capabilities developed over 30 years and now serves approximately 68 million people on four continents."
"Lee Enterprises, Inc.",LEE,"Lee Enterprises, Inc. (LEE) is a media company providing local news publications both print and digital, as well as advertising services throughout the Midwest, Mountain West, and Western region of the United States.  The company was founded in 1890 and is headquartered in Davenport, Iowa."
"Matson, Inc.",MATX,"Matson, Inc. (MATX) through its subsidiaries, operates as an ocean cargo carrier. Matson’s transportation offerings span the globe from Shanghai to Savannah and encompass everything from providing a vital lifeline to the economies of Hawaii, Alaska, Guam, Micronesia and the South Pacific to delivering a wide range of multi-modal services throughout North America."
MBT Financial Corp.,MBTF,MBT Financial Corp. (MBTF)  operates as a holding company for the Monroe Bank & Trust that provides retail and commercial banking to clients mainly in southern Michigan. It as well provides trust services to small and middle-size businesses and middle-income households.
Mechel Sp ADR,MTL,"Mechel Sp ADR (MTL) engages in mining and steel businesses in Asia,the Russian Federation, the Commonwealth of Independent States, Europe, the Middle East, the United States, and internationally. Mechel PAO works in three different sectors,Mining, Steel, and Power. The company was build in 2013 and is based in Moscow, the Russian Federation."
"Medivation, Inc. ",MDVN,"Medivation, Inc.  (MDVN) a biopharmaceutical company, focuses on the development and commercialization of medical therapies to treat serious diseases in the United States. It offers Xtandi for the treatment of post-chemotherapy metastatic castration-resistant prostate cancer (CRPC) patients."
"Micron Technology, Inc.",MU,"Micron Technology, Inc. (MU) through its subsidiaries, manufactures and markets dynamic random access memory chips (DRAMs), very fast static random access memory chips (SRAMs), Flash Memory, other semiconductor components, and memory modules. It is a part of the Semiconductor Devices industry."
"Navidea Biopharmaceuticals, Inc.",NAVB,"Navidea Biopharmaceuticals, Inc. (NAVB) is a biopharmaceuticals company headquartered in Dublin, Ohio.  The company develops and commercializes precision immunodiagnostic agents and immunotherapeutics."
Navistar International Corporation ,NAV,"Navistar International Corporation  (NAV) is a US company that manufactures commercial trucks, buses, defense vehicles, and engines. Navistar consists of four operating segments: Truck, Parts, Financial Services, and Global Operations.  The company is headquartered in Lisle, Illinois."
NeoPhotonics Corp.,NPTN,NeoPhotonics Corp. (NPTN)  is a market leading firm in the design and manufacturing of hybrid Potonic Integrated optoelectronic modules. Their iconic Advanced Hybrid Photonic Integration combines an increasingly large number of optical functions while achieving the highest optical performance in high speed digital optical communications
"Northwest Biotherapeutics, Inc.",NWBO,"Northwest Biotherapeutics, Inc. (NWBO) is a biotechnology company developing treatments for cancer patients, such as their product: DCVax. The company was founded in 1996 and headquartered in Bethesda, Maryland."
Ocwen Financial Corp. ,OCN,"Ocwen Financial Corp.  (OCN) is a provider of residential and commercial mortgage loan servicing, special servicing and asset management services."
Petróleo Brasileiro S.A.,PBR,"Petróleo Brasileiro S.A. (PBR) Petrobras is a is a semi-public Brazilian multinational corporation in the petroleum industry and its headquarter is in Rio de Janeiro, Brazil. Petrobras was founded in 1953 and today has a production out put of 2.3 million barrels of oil which are distributed world wide."
RADA Electronics Industries Ltd. ,RADA,"RADA Electronics Industries Ltd.  (RADA) is an Israel-based firm, that both produces and sells advanced electronic and defense systems for airborne and land applications. It dually operates for civil and military personal, mainly for the defense market."
Raptor Pharmaceutical Corp. ,RPTP,"Raptor Pharmaceutical Corp.  (RPTP) is a biopharmaceutical company, focuses on developing and commercializing transformative treatments for people affected by rare and debilitating diseases. On May 17th, the day before the forecast, RPTP breached its 50-day moving average in a bullish manner. Analysts expect further growth from the company in the future."
"Sarepta Therapeutics, Inc.",SRPT,"Sarepta Therapeutics, Inc. (SRPT)  is a biopharmaceutical company focusing on the discovery and development of RNA-based therapeutics for the treatment of rare, infectious, and other diseases. Its lead product candidate is Eteplirsen.  The company was founded in 1890 and is headquartered in Cambridge, United Kingdom."
Seagate Technology Public Limited Company,STX,"Seagate Technology Public Limited Company (STX) designs, manufactures, and sells electronic data storage products in the Asia Pacific, the Americas, and EMEA countries. The company is based out of Dublin, Ireland."
"SIFCO Industries, Inc. ",SIF,"SIFCO Industries, Inc.  (SIF) is a manufacturing company of forging and machined components headquartered in Cleveland, Ohio.  The company is a major supplier in the aerospace and energy market, producing products such as aircraft  landing gears, steam turbine blades, and many more. The company’s three business segments are forging, heat-treating, and machining."
Silver Wheaton Corp.,SLW,Silver Wheaton Corp. (SLW)  a Canada-based mining company which generates its revenue primarily from the sale of silver and gold.
SINA Corp.,SINA,"SINA Corp. (SINA) a Chinese company that works in the online media sector, operates in four main channels – Sina Weibo, Sina Mobile, Sina Online, and Sina.net."
Teekay Offshore Partners L.P,TOO,"Teekay Offshore Partners L.P (TOO)  was founded in 1973 by Torben Karlshoej. Under Torben’s leadership, Teekay grew their operator to an operational leader and successful vessel owner in the shipping market. Since then they expanded across new segments including gas and offshore and created four publicly traded companies."
"United Continental Holdings, Inc.",UAL,"United Continental Holdings, Inc. (UAL) is an airline holding company, of which its principal subsidiary is United Air Lines, Inc. (United). The Company transports personal, mail and property through its mainline operations. It has global air rights in North America, Asia-Pacific, Europe, Middle East, Africa and Latin America."
VirnetX Holding Corporation,VHC,"VirnetX Holding Corporation (VHC) Internet security software and technology Company with patented technology for securing real-time communications. Their headquarters is in California, US."
Whiting Petroleum Corp. ,WLL,"Whiting Petroleum Corp.  (WLL) is an oil and gas company focusing in the development, exploration, acquisition, and production of crude oil and natural gas.  With its headquarters in Denver, Colorado, the company’s operations spans in the Rocky Mountains and the Great Basin region."
"Windtree Therapeutics, Inc",WINT,"Windtree Therapeutics, Inc (WINT) formerly Discovery Laboratories, Inc., is a clinical-stage biotechnology company. The Company is focused on developing KL4 surfactant therapies for respiratory diseases and other potential applications."
Yelp Inc.,YELP,"Yelp Inc. (YELP) headquartered in San Francisco, CA, hosts yelp.com and the mobile app Yelp, which serve as crowd-sourcing review services for local businesses including restaurants, bars, and small shops. Yelp also hosts SeatMe, which is an online service that allows users to make restaurant reservations, and Eat24, an online food delivery service."
"Ebix, Inc.",EBIX,"Ebix, Inc. (EBIX) supplies software and electronic commerce solutions to the insurance industry. The Company provides a series of application software ranging from carrier systems, agency systems, and exchanges to custom software development for all entities involved in the insurance and financial industries. Ebix offers products, support, and consultancy to customers on several continents."
"Novavax, Inc.",NVAX,"Novavax, Inc. (NVAX) is a clinical stage biotechnology company. The Company creates novel vaccines to address a broad range of infectious diseases worldwide using proprietary virus-like particle (VLP) technology."
Vanguard Natural Resources LLC.,VNR,"Vanguard Natural Resources LLC. (VNR) is an independent natural gas and oil company. The Company develops and exploits mature, long-lived natural gas and oil properties. Vanguard's primary business objective is to generate stable cash flows allowing them to make monthly cash distributions to our unitholders."
"Hawaiian Holdings, Inc.",HA,"Hawaiian Holdings, Inc. (HA) provides scheduled and charter air transportation of passengers, cargo, and mail. The Company provides its services among the islands of Hawaii and between Hawaii and several West Coast gateway cities and destinations in the South Pacific."