Name,Slug
Action de fonds speculatif,actions-de-fonds-speculatifs
Actions a Haut Volume,action-a-haut-volume
Actions a moins de $10,actions-moins-10
Actions a moins de $5,actions-moins-5
Actions Biotech,actions-biotech
Actions Dividendes,actions-dividendes
Actions medicaments,actions-medicaments 
Actions S&P 100,actions-sp100
Actions Transports,actions-transports
Cours De L or,cours-de-lor
Devises,devises
Elementaire,elementaire
Entreprises S&P 500,entreprises-sp500
Geants technologiques,geants-technologiques
Valeurs Immobilieres,valeurs-immobilieres
Indices Mondiaux,indices-mondiaux
Industrie informatique,industrie-informatique
Les Tops 10 Actions et le S&P 500,les-tops-10-actions-et-le-sp-500
Matieres Premieres,matieres-premieres
Operations d inities,operation-dinities
Options,options
Petites Capitalisations,petites-capitalisations
Portfolio Warren Buffett,warren-buffet-actions
Prevision Actions Apple,action-apple
Prevision actions energetiques,prevision-actions-energetiques
Prevision actions Microsoft,previsions-actions-Microsoft 
Prevision des taux d interets,prevision-taux-dinteret
Prevision des Valeurs Britanniques,valeurs-britanniques
Prevision Index Tracker,prevision-index-tracker
Prevision indices Secteur US,indices-secteur-us
Prevision industries generalistes,prevision-industries-generalistes
Prevision Mega Cap,prevision-mega-cap
Prevision petrole,prevision-petrole
Prevision valeurs agressives,previsions-valeurs-agressives
Prevision valeurs allemandes,prevision-valeurs-allemandes 
Prevision valeurs automobiles,previsions-valeurs-automobiles
Prevision valeurs bresiliennes,prevision-valeurs-bresiliennes
Prevision valeurs canadiennes,prevision-valeurs-canadiennes
Prevision valeurs chinoises,prevision-valeurs-chinoises
Prevision valeurs conservatrices,prevision-valeurs-conservatrices
Prevision valeurs europeennes,prevision-valeurs-europeennes
Prevision valeurs japonaises,prevision-valeurs-japonaises
Prevision valeurs russes,prevision-valeurs-russes
Prevision Valeurs Technologiques,valeurs-technologiques
Prevision Volatilite,volatilite
Previsions actions pharmaceutiques,previsions-actions-pharmaceutiques
Previsions companie d assurance,prevision-companie-dassurance
Previsions valeurs Hong Kong,prevision-valeurs-hong-kong
Sante,sante
Semaine 52 Bas Prix,semaine-52-bas-prix
Semaine 52 Haut Prix, semaine-52-haut-prix
Societe en commandite ouverte,societe-en-commandite-ouverte 
Transport industriel,transport-industriel
Valeur des Constructeurs Immobiliers,constructeurs-immobiliers
Valeurs Bancaires,valeurs-bancaires
Valeurs chimiques,valeurs-chimiques
Valeurs de Consommateurs,valeurs-de-consommateurs
Valeurs Francaises,valeurs-francaises
Valeurs internationales,valeurs-internationales
Valeurs israeliennes,valeurs-israeliennes
Valeurs Technologiques,valeurs-technologiques